iter	Logloss
0	0.6165545899
1	0.5578681868
2	0.5002609912
3	0.4484331586
4	0.4111679758
5	0.3842186633
6	0.3539664532
7	0.3338936011
8	0.3131461942
9	0.2947087585
10	0.2783910325
11	0.268588907
12	0.2605172872
13	0.2506454021
14	0.2428847027
15	0.2367794662
16	0.2318321077
17	0.2273781815
18	0.2229189454
19	0.2184221803
20	0.2157272448
21	0.2134277791
22	0.2110512803
23	0.2084665157
24	0.2049909216
25	0.202793844
26	0.2007575555
27	0.1990972498
28	0.1981894074
29	0.1971324247
30	0.1955216265
31	0.1943455907
32	0.1935852073
33	0.1930612086
34	0.1921303155
35	0.1906233366
36	0.1900536841
37	0.1890530289
38	0.1884609444
39	0.1873631908
40	0.1869264157
41	0.1863145541
42	0.1856015976
43	0.1852139118
44	0.184873987
45	0.1842538161
46	0.1836470487
47	0.1832047926
48	0.1829997179
49	0.1824028911
50	0.182107033
51	0.1818960917
52	0.1816160027
53	0.180776562
54	0.1806021451
55	0.1803202988
56	0.1800911342
57	0.1799440459
58	0.1798098954
59	0.1795462212
60	0.1791826953
61	0.1784741201
62	0.1782006924
63	0.1780586395
64	0.1778962392
65	0.1775102914
66	0.1773169628
67	0.1768794211
68	0.1765820423
69	0.1760245592
70	0.1758249809
71	0.1756954532
72	0.1754959347
73	0.1753943655
74	0.175203613
75	0.1749445532
76	0.1745273601
77	0.1743605847
78	0.1742118543
79	0.1740717191
80	0.1739323126
81	0.1737424021
82	0.1733855683
83	0.1732137652
84	0.173118834
85	0.1727885983
86	0.1726749662
87	0.1725805814
88	0.1725301735
89	0.1724889968
90	0.1724842731
91	0.1723716168
92	0.1721791679
93	0.1721063658
94	0.1719872451
95	0.1718556111
96	0.1716657655
97	0.1715538443
98	0.1713705338
99	0.1713465282
100	0.1712274914
101	0.1711433079
102	0.1709254735
103	0.1706128751
104	0.1704889468
105	0.1703090507
106	0.1702048419
107	0.1700837252
108	0.169859129
109	0.1697626295
110	0.169660675
111	0.1695223038
112	0.1694892164
113	0.1694521774
114	0.1694143182
115	0.1692880256
116	0.1691116868
117	0.1689733224
118	0.1689126169
119	0.16876692
120	0.1686407154
121	0.1684540586
122	0.1683636915
123	0.1682675673
124	0.1680708679
125	0.1679181749
126	0.1678022191
127	0.1677028602
128	0.1676582877
129	0.1675675755
130	0.1674381546
131	0.1674267079
132	0.1673886461
133	0.1673331405
134	0.1670876408
135	0.1670447928
136	0.16701529
137	0.1668230558
138	0.166759931
139	0.1667564045
140	0.166645363
141	0.1664964069
142	0.1662156396
143	0.1661693365
144	0.1661224477
145	0.1659577946
146	0.1658837096
147	0.1658219805
148	0.1657108446
149	0.1656218723
150	0.1656190182
151	0.1654801428
152	0.1654005453
153	0.1653869041
154	0.1653441037
155	0.1652944193
156	0.1652628061
157	0.1652299844
158	0.1650645491
159	0.1650001687
160	0.1648029463
161	0.1646665172
162	0.1646594618
163	0.1646159858
164	0.1644791468
165	0.1643748942
166	0.1642739044
167	0.1642121892
168	0.1641150346
169	0.1640915315
170	0.1640733855
171	0.1639420496
172	0.1638934124
173	0.1638592394
174	0.1637617572
175	0.1637054082
176	0.1636155965
177	0.1635235639
178	0.1634716291
179	0.1632863117
180	0.1632738298
181	0.1632018925
182	0.1631774775
183	0.1631652861
184	0.1631256799
185	0.1629608139
186	0.1628024338
187	0.162734069
188	0.1627294166
189	0.1625623625
190	0.1625064447
191	0.1624622474
192	0.1624611357
193	0.1624208515
194	0.1623846417
195	0.1622776304
196	0.1621904369
197	0.1621268834
198	0.1621213097
199	0.1620937119
200	0.1620542142
201	0.1619888614
202	0.1619125116
203	0.1619041905
204	0.1617723337
205	0.1617588733
206	0.1617276607
207	0.1616523954
208	0.1616409919
209	0.1615785865
210	0.1615734141
211	0.1615047149
212	0.1613832964
213	0.1612671553
214	0.1611332373
215	0.1610322647
216	0.1609857918
217	0.1609789509
218	0.1609270505
219	0.1609114031
220	0.1608213169
221	0.1607301403
222	0.1606921934
223	0.1605215302
224	0.1604976864
225	0.1604345497
226	0.1603874408
227	0.1603703158
228	0.1603436591
229	0.1602928264
230	0.160288274
231	0.1602790236
232	0.1602282228
233	0.160128598
234	0.1600543125
