iter	Passed	Remaining
0	204	102151
1	241	60070
2	277	45929
3	310	38553
4	339	33570
5	367	30241
6	401	28260
7	428	26369
8	458	25030
9	489	23966
10	526	23393
11	553	22518
12	580	21743
13	608	21112
14	638	20660
15	671	20327
16	703	19993
17	739	19805
18	778	19699
19	814	19542
20	847	19342
21	881	19157
22	915	18992
23	962	19094
24	991	18834
25	1021	18617
26	1054	18464
27	1084	18273
28	1117	18141
29	1152	18060
30	1194	18076
31	1226	17942
32	1255	17764
33	1283	17589
34	1314	17462
35	1343	17311
36	1371	17160
37	1399	17010
38	1429	16902
39	1473	16946
40	1501	16805
41	1534	16737
42	1563	16614
43	1592	16501
44	1622	16406
45	1663	16420
46	1694	16336
47	1724	16238
48	1754	16148
49	1785	16072
50	1814	15975
51	1844	15891
52	1871	15786
53	1903	15717
54	1932	15637
55	1960	15542
56	1992	15485
57	2020	15399
58	2048	15313
59	2076	15230
60	2106	15156
61	2137	15097
62	2166	15030
63	2194	14952
64	2225	14892
65	2257	14846
66	2287	14783
67	2315	14711
68	2347	14664
69	2375	14594
70	2404	14529
71	2433	14465
72	2461	14400
73	2490	14336
74	2518	14269
75	2551	14232
76	2580	14174
77	2610	14125
78	2642	14081
79	2677	14055
80	2710	14018
81	2742	13981
82	2776	13951
83	2809	13912
84	2838	13857
85	2874	13839
86	2903	13782
87	2934	13740
88	2966	13698
89	3021	13765
90	3044	13685
91	3074	13635
92	3107	13597
93	3140	13564
94	3168	13506
95	3199	13463
96	3228	13412
97	3259	13372
98	3293	13339
99	3322	13289
100	3352	13242
101	3380	13189
102	3431	13225
103	3460	13178
104	3493	13142
105	3523	13096
106	3552	13048
107	3583	13006
108	3612	12958
109	3644	12920
110	3680	12896
111	3711	12858
112	3744	12822
113	3776	12787
114	3806	12743
115	3836	12699
116	3870	12669
117	3900	12627
118	3929	12580
119	3962	12546
120	3992	12505
121	4021	12460
122	4051	12417
123	4080	12374
124	4113	12339
125	4151	12321
126	4180	12278
127	4212	12242
128	4242	12201
129	4271	12158
130	4301	12116
131	4333	12081
132	4363	12040
133	4395	12004
134	4424	11963
135	4454	11923
136	4485	11884
137	4514	11841
138	4545	11806
139	4574	11763
140	4603	11721
141	4633	11680
142	4665	11646
143	4699	11617
144	4732	11587
145	4769	11565
146	4798	11522
147	4827	11481
148	4856	11441
149	4887	11404
150	4903	11334
151	4933	11294
152	4974	11283
153	5003	11241
154	5032	11200
155	5060	11158
156	5091	11124
157	5121	11085
158	5172	11092
159	5213	11079
160	5242	11039
161	5278	11014
162	5308	10975
163	5338	10937
164	5369	10901
165	5398	10861
166	5428	10823
167	5457	10785
168	5495	10764
169	5526	10727
170	5555	10688
171	5589	10658
172	5620	10623
173	5658	10601
174	5697	10581
175	5728	10546
176	5764	10519
177	5800	10492
178	5830	10455
179	5861	10419
180	5880	10364
181	5915	10335
182	5945	10298
183	5976	10263
184	6009	10233
185	6039	10196
186	6075	10169
187	6113	10146
188	6139	10102
189	6175	10076
190	6204	10038
191	6237	10006
192	6264	9965
193	6296	9932
194	6336	9910
195	6372	9883
196	6405	9851
197	6436	9817
198	6471	9787
199	6505	9757
200	6536	9723
201	6570	9692
202	6599	9656
203	6631	9621
204	6671	9600
205	6708	9574
206	6742	9544
207	6795	9539
208	6826	9505
209	6856	9467
210	6875	9417
211	6904	9379
212	6934	9343
213	6964	9307
214	6997	9275
215	7032	9246
216	7063	9211
217	7095	9178
218	7133	9153
219	7164	9118
220	7195	9083
221	7242	9070
222	7272	9033
223	7304	9000
224	7334	8964
225	7365	8929
226	7396	8895
227	7428	8861
228	7461	8830
229	7495	8799
230	7527	8766
231	7557	8730
232	7591	8699
233	7626	8669
234	7663	8642
235	7696	8610
236	7732	8580
237	7768	8551
238	7800	8518
239	7835	8488
240	7865	8452
241	7894	8415
242	7923	8380
243	7949	8339
244	7977	8303
245	8007	8268
246	8041	8236
247	8069	8199
248	8107	8172
249	8138	8138
250	8169	8104
251	8215	8084
252	8249	8054
253	8279	8018
254	8313	7987
255	8350	7959
256	8385	7928
257	8420	7897
258	8451	7864
259	8480	7828
260	8508	7791
261	8537	7755
262	8565	7718
263	8595	7683
264	8624	7648
265	8656	7614
266	8685	7579
267	8720	7548
268	8755	7518
269	8786	7484
270	8816	7450
271	8844	7414
272	8881	7385
273	8910	7349
274	8940	7315
275	8970	7280
276	9000	7246
277	9034	7214
278	9065	7180
279	9098	7148
280	9133	7118
281	9164	7084
282	9196	7052
283	9228	7019
284	9279	7000
285	9309	6966
286	9341	6932
287	9370	6897
288	9399	6862
289	9426	6826
290	9454	6790
291	9485	6756
292	9522	6727
293	9552	6693
294	9586	6661
295	9621	6631
296	9666	6606
297	9709	6581
298	9738	6546
299	9773	6515
300	9803	6481
301	9837	6449
302	9871	6417
303	9904	6386
304	9935	6352
305	9969	6320
306	10004	6289
307	10035	6255
308	10068	6223
309	10099	6189
310	10128	6155
311	10160	6122
312	10197	6092
313	10228	6059
314	10262	6027
315	10292	5993
316	10325	5960
317	10357	5927
318	10388	5894
319	10418	5860
320	10449	5827
321	10482	5794
322	10518	5763
323	10548	5729
324	10574	5693
325	10603	5659
326	10635	5626
327	10667	5593
328	10698	5560
329	10733	5529
330	10763	5495
331	10792	5461
332	10824	5428
333	10855	5395
334	10884	5360
335	10912	5326
336	10941	5292
337	10973	5259
338	11002	5225
339	11032	5191
340	11064	5159
341	11095	5125
342	11131	5095
343	11163	5062
344	11193	5028
345	11222	4995
346	11250	4960
347	11295	4933
348	11325	4900
349	11357	4867
350	11387	4833
351	11418	4801
352	11447	4767
353	11478	4734
354	11511	4701
355	11541	4668
356	11571	4635
357	11601	4601
358	11632	4568
359	11664	4536
360	11696	4503
361	11728	4470
362	11764	4440
363	11795	4407
364	11827	4374
365	11857	4341
366	11891	4309
367	11925	4277
368	11956	4244
369	11985	4211
370	12025	4181
371	12057	4148
372	12103	4121
373	12133	4087
374	12169	4056
375	12201	4023
376	12232	3990
377	12263	3957
378	12292	3924
379	12326	3892
380	12360	3860
381	12397	3829
382	12428	3796
383	12459	3763
384	12495	3732
385	12525	3699
386	12557	3666
387	12590	3634
388	12625	3602
389	12657	3569
390	12689	3537
391	12725	3506
392	12756	3473
393	12786	3440
394	12821	3408
395	12852	3375
396	12886	3343
397	12917	3310
398	12948	3277
399	12977	3244
400	13009	3211
401	13043	3179
402	13073	3146
403	13104	3114
404	13134	3080
405	13164	3047
406	13196	3015
407	13240	2985
408	13270	2952
409	13302	2920
410	13330	2886
411	13361	2853
412	13392	2821
413	13423	2788
414	13454	2755
415	13488	2723
416	13522	2691
417	13554	2659
418	13584	2626
419	13611	2592
420	13648	2561
421	13685	2529
422	13716	2496
423	13748	2464
424	13778	2431
425	13806	2398
426	13835	2365
427	13864	2332
428	13901	2300
429	13933	2268
430	13966	2235
431	13997	2203
432	14028	2170
433	14057	2137
434	14087	2105
435	14118	2072
436	14150	2039
437	14179	2007
438	14214	1975
439	14246	1942
440	14274	1909
441	14306	1877
442	14340	1845
443	14375	1813
444	14426	1783
445	14457	1750
446	14485	1717
447	14517	1685
448	14547	1652
449	14574	1619
450	14608	1587
451	14638	1554
452	14667	1521
453	14696	1489
454	14725	1456
455	14754	1423
456	14784	1391
457	14815	1358
458	14849	1326
459	14884	1294
460	14916	1261
461	14947	1229
462	14982	1197
463	15017	1165
464	15068	1134
465	15099	1101
466	15131	1069
467	15166	1037
468	15197	1004
469	15228	972
470	15258	939
471	15289	907
472	15329	875
473	15362	842
474	15396	810
475	15434	778
476	15466	745
477	15515	714
478	15551	681
479	15584	649
480	15627	617
481	15667	585
482	15720	553
483	15752	520
484	15782	488
485	15817	455
486	15846	423
487	15878	390
488	15906	357
489	15940	325
490	15978	292
491	16008	260
492	16039	227
493	16070	195
494	16109	162
495	16147	130
496	16178	97
497	16209	65
498	16239	32
499	16270	0
